from,to
2003,Sales Support
2003,Software Assurance
2003,Sony
2003,Sun Microsystems
2003,Sybase
2003,The Microsoft Office System
2003,Trustworthy Computing
2003,XML
2003,Yahoo
2004,Apple
2004,CRM
2004,Client
2004,Corel
2004,Dell
2004,ESA
2004,GPU
2004,General Counsel
2004,Group
2004,HPD
2004,Home Entertainment
2004,Human Resources
2004,IBM
2004,ISV
2004,Information Worker
2004,Linux
2004,Longhorn
2004,MSN
2004,Microsoft
2004,Microsoft Business Solutions
2004,Microsoft Europe
2004,Microsoft Office
2004,Microsoft Office System
2004,Microsoft Xbox
2004,Mobile Embedded Devices
2004,Office
2004,Oracle
2004,Personal Services Group
2004,Portable Media Center
2004,SEC
2004,Sales Support
2004,Server Tools
2004,Software Assurance
2004,Sony
2004,Sun Microsystems
2004,The Home Entertainment
2004,The Microsoft Office System
2004,XML
2004,Yahoo
2005,AOL
2005,Apple
2005,BizTalk Server
2005,Carter Holt Harvey Limited
2005,Client
2005,Commission
2005,Corel
2005,Dell
2005,ESA
2005,European Commission
2005,Fargo
2005,Finance Administration
2005,GPU
2005,General Counsel
2005,Google
2005,Group
2005,HPD
2005,Home Entertainment
2005,IBM
2005,Information Worker
2005,International Paper
2005,Legal Corporate Affairs
2005,Linux
2005,MSN
2005,MSN Internet Access
2005,MSN Search
2005,MSTV
2005,Microsoft
2005,Microsoft Axapta
2005,Microsoft Business Solutions
2005,Microsoft Europe
2005,Microsoft International
2005,Microsoft Navision
2005,Microsoft Office
2005,Microsoft Office System
2005,Microsoft Solomon
2005,Mobile Embedded Devices
2005,NEC
2005,Nintendo
2005,Novell
2005,Oracle
2005,Red Hat
2005,SEC
2005,SMB
2005,SQL Server
2005,Sales Support
2005,Server
2005,Server Tools
2005,Server Tools Business
2005,Software Assurance
2005,Sony
2005,Sun Microsystems
2005,Windows Server System
2005,Worldwide Sales Marketing Services
2005,XML
2006,AOL
2006,Apple
2006,CA
2006,Commission
2006,Corel
2006,Court First Instance
2006,Dell
2006,European Commission
2006,Exchange Server
2006,General Counsel
2006,Google
2006,Group
2006,Home Entertainment
2006,Human Resources
2006,IBM
2006,IPTV
2006,Information Systems Division
2006,Information Worker
2006,International Paper
2006,KFTC
2006,Korean Fair Trade Commission
2006,Legal Corporate Affairs
2006,Linux
2006,MSN
2006,MSN Search
2006,MSN adCenter
2006,MapPoint
2006,Microsoft
2006,Microsoft Business Division
2006,Microsoft Business Solutions
2006,Microsoft Entertainment Devices Division
2006,Microsoft Office
2006,Nintendo
2006,Novell
2006,Office
2006,Oracle
2006,Red Hat
2006,SEC
2006,Sales Support
2006,Server Tools
2006,SharePoint
2006,Software Assurance
2006,Sony
2006,Sun Microsystems
2006,System Center
2007,AOL
2007,Apple
2007,Commission
2007,Computer Associates
2007,Corel
2007,Dell
2007,EDD
2007,Entertainment Devices Division
2007,Forefront Security
2007,General Counsel
2007,Google
2007,Group
2007,Human Resources
2007,IBM
2007,Information Systems Division
2007,International Paper
2007,Linux
2007,Live Search
2007,MBD
2007,MSN
2007,MSN Internet Access
2007,MSN Premium Web Services
2007,Mediaroom
2007,Microsoft
2007,Microsoft Business Division
2007,Microsoft Dynamics
2007,Microsoft Office
2007,Microsoft Office System
2007,Nintendo
2007,Novell
2007,OSB
2007,Office
2007,Oracle
2007,Platforms Services Division
2007,Red Hat
2007,SAP
2007,SEC
2007,Sales Support
2007,Software Assurance
2007,Sony
2007,Sun Microsystems
2007,System Center
2007,Windows Mobile
2007,Zune
2008,AOL
2008,Adobe
2008,Apple
2008,Business Productivity
2008,Commission
2008,Corel
2008,Dell
2008,EDD
2008,Entertainment Devices Division
2008,European Commission
2008,General Counsel
2008,Google
2008,Group
2008,Human Resources
2008,IBM
2008,Information Systems Division
2008,International Paper
2008,Linux
2008,Live Search
2008,MBD
2008,MSN
2008,Mediaroom
2008,Microsoft
2008,Microsoft Business Division
2008,Microsoft Dynamics
2008,Microsoft Dynamics CRM
2008,Microsoft Dynamics CRM Online
2008,Microsoft Office
2008,Microsoft Online Services
2008,Microsoft SQL Server
2008,Nintendo
2008,Novell
2008,OSB
2008,Office
2008,Oracle
2008,Platforms Services Division
2008,Red Hat
2008,SAP
2008,SEC
2008,Sales Support
2008,Server Tools
2008,Software Assurance
2008,Sony
2008,Sun Microsystems
2008,System Center
2008,Visual Studio
2008,Windows Live Office Live
2008,Windows Server
2008,Worldwide Field Operations
2008,Zune
2009,Adobe
2009,Apple
2009,Bing
2009,Business Productivity
2009,Corel
2009,Dell
2009,EDD
2009,Entertainment Devices Division
2009,General Counsel
2009,Google
2009,Group
2009,Human Resources
2009,IBM
2009,Information Systems Division
2009,Intel
2009,International Paper
2009,Linux
2009,MBD
2009,MSN
2009,Mediaroom
2009,Microsoft
2009,Microsoft Business Division
2009,Microsoft Dynamics
2009,Microsoft Dynamics CRM Online
2009,Microsoft Office
2009,Microsoft Online Services
2009,Microsoft Surface
2009,Nintendo
2009,Novell
2009,Office
2009,Oracle
2009,PHP
2009,Red Hat
2009,SAP
2009,SEC
2009,Server Tools
2009,Server Tools Business
2009,SharePoint
2009,Sony
2009,Sun Microsystems
2009,System Center
2009,Windows Division
2009,Windows Server
2009,Worldwide Field Operations
2009,Yahoo
2009,Zoho
2009,Zune
2010,Adobe
2010,Apple
2010,Bing
2010,Business Productivity
2010,CA Technologies
2010,Commission
2010,Corel
2010,Dell
2010,Enterprise
2010,Enterprise Services
2010,General Counsel
2010,Google
2010,Group
2010,Home Basic
2010,Home Premium
2010,Human Resources
2010,IBM
2010,Information Systems Division
2010,Intel
2010,Linux
2010,MBD
2010,MSN
2010,Mediaroom
2010,Microsoft
2010,Microsoft Business Division
2010,Microsoft Dynamics
2010,Microsoft Dynamics CRM Online
2010,Microsoft Office
2010,Microsoft Office Web Apps
2010,Microsoft SharePoint
2010,Microsoft Word
2010,Nintendo
2010,Novell
2010,Office
2010,Oracle
2010,PHP
2010,PowerPoint
2010,Products Services
2010,Red Hat
2010,SAP
2010,SEC
2010,Server Tools
2010,Sony
2010,System Center
2010,Ultimate
2010,VMWare
2010,Windows Division
2010,Windows Windows Live Division
2010,Worldwide Field Operations
2010,Yahoo
2010,Zoho
2010,Zune
2011,Adobe
2011,Apple
2011,Bing
2011,CA Technologies
2011,Commission
2011,Corel
2011,Dell
2011,Enterprise Services
2011,General Counsel
2011,Google
2011,Human Resources
2011,IBM
2011,Information Systems Division
2011,Ingram Micro
2011,Kinect
2011,Linux
2011,Lync
2011,MBD
2011,MSN
2011,Mediaroom
2011,Microsoft
2011,Microsoft Business Division
2011,Microsoft Dynamics
2011,Microsoft Dynamics CRM Online
2011,Microsoft Exchange
2011,Microsoft Lync
2011,Microsoft Office
2011,Microsoft Office Division
2011,Microsoft Office Exchange
2011,Microsoft Office Web Apps
2011,Microsoft Research
2011,Microsoft SharePoint
2011,Nintendo
2011,Nokia
2011,OEM
2011,Office
2011,Oracle
2011,PHP
2011,Principal Products Services
2011,SAP
2011,SEC
2011,SQL
2011,Select
2011,Server Tools
2011,SharePoint
2011,Sony
2011,System Center
2011,Tech Data
2011,VMWare
2011,Windows Division
2011,Windows Windows Live Division
2011,Yahoo
2011,adCenter
2012,Adobe
2012,Apple
2012,Bing
2012,CA Technologies
2012,Commission
2012,Dell
2012,Enterprise Services
2012,General Counsel
2012,Google
2012,Human Resources
2012,IBM
2012,Information Systems Division
2012,Ingram Micro
2012,Kinect
2012,Linux
2012,Lync
2012,MBD
2012,MSN
2012,Microsoft
2012,Microsoft Business Division
2012,Microsoft Dynamics
2012,Microsoft Dynamics CRM Online
2012,Microsoft Exchange
2012,Microsoft Lync
2012,Microsoft Office
2012,Microsoft Office Division
2012,Microsoft Office Exchange
2012,Microsoft Office Web Apps
2012,Microsoft Research
2012,Nintendo
2012,Nokia
2012,OEM
2012,Office
2012,Online Services Division
2012,Open Programs
2012,Oracle
2012,PHP
2012,Principal Products Services
2012,SAP
2012,SEC
2012,SQL
2012,Select Plus Program
2012,Server Tools
2012,SharePoint
2012,Skype
2012,Sony
2012,Tech Data
2012,Windows Azure Services
2012,Windows Division
2012,Windows Windows Live Division
2012,Yahoo
2013,Adobe
2013,Apple
2013,Bing
2013,CA Technologies
